"Company Account","Merchant Account","Psp Reference","Merchant Reference","Payment Method","Booking Date","Batch Number","Gross Currency","Gross Debit (GC)","Gross Credit (GC)","Net Currency","Net Debit (NC)","Net Credit (NC)","Commission (NC)","Markup (NC)","Scheme Fees (NC)","Interchange (NC)"
"CafeTerraCo","CafeTerraBRL","psp_0000000","CT-202608-00185","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","2140.49","BRL","","2130.26","6.13","2.05","1.23","0.82"
"CafeTerraCo","CafeTerraBRL","psp_0000001","CT-202608-00172","visa","2026-08-13","ADY-BRL-20260813","BRL","","1812.19","BRL","","1800.72","6.88","2.29","1.38","0.92"
"CafeTerraCo","CafeTerraBRL","psp_0000002","CT-202608-00184","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","1955.13","BRL","","1945.73","5.64","1.88","1.13","0.75"
"CafeTerraCo","CafeTerraBRL","psp_0000003","CT-202608-00123","pix","2026-08-13","ADY-BRL-20260813","BRL","","1184.76","BRL","","1171.73","7.82","2.61","1.56","1.04"
"CafeTerraCo","CafeTerraBRL","psp_0000004","CT-202608-00102","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","642.71","BRL","","639.22","2.09","0.70","0.42","0.28"
"CafeTerraCo","CafeTerraBRL","psp_0000005","CT-202608-00046","pix","2026-08-13","ADY-BRL-20260813","BRL","","1452.58","BRL","","1422.22","18.22","6.07","3.64","2.43"
"CafeTerraCo","CafeTerraBRL","psp_0000006","CT-202608-00099","visa","2026-08-13","ADY-BRL-20260813","BRL","","699.50","BRL","","694.70","2.88","0.96","0.58","0.38"
"CafeTerraCo","CafeTerraBRL","psp_0000007","CT-202608-00061","pix","2026-08-13","ADY-BRL-20260813","BRL","","2245.53","BRL","","2220.83","14.82","4.94","2.96","1.98"
"CafeTerraCo","CafeTerraBRL","psp_0000008","CT-202608-00275","pix","2026-08-13","ADY-BRL-20260813","BRL","","1377.89","BRL","","1362.73","9.10","3.03","1.82","1.21"
"CafeTerraCo","CafeTerraBRL","psp_0000009","CT-202608-00205","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","1775.85","BRL","","1767.26","5.15","1.72","1.03","0.69"
"CafeTerraCo","CafeTerraBRL","psp_0000010","CT-202608-00249","visa","2026-08-13","ADY-BRL-20260813","BRL","","2291.25","BRL","","2276.90","8.61","2.87","1.72","1.15"
"CafeTerraCo","CafeTerraBRL","psp_0000011","CT-202608-00197","visa","2026-08-13","ADY-BRL-20260813","BRL","","1138.64","BRL","","1131.21","4.46","1.49","0.89","0.59"
"CafeTerraCo","CafeTerraBRL","psp_0000012","CT-202608-00264","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","700.64","BRL","","696.89","2.25","0.75","0.45","0.30"
"CafeTerraCo","CafeTerraBRL","psp_0000013","CT-202608-00214","visa","2026-08-13","ADY-BRL-20260813","BRL","","1035.25","BRL","","1028.44","4.09","1.36","0.82","0.54"
"CafeTerraCo","CafeTerraBRL","psp_0000014","CT-202608-00003","pix","2026-08-13","ADY-BRL-20260813","BRL","","485.34","BRL","","480.00","3.20","1.07","0.64","0.43"
"CafeTerraCo","CafeTerraBRL","psp_0000015","CT-202608-00235","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","748.06","BRL","","744.09","2.38","0.79","0.48","0.32"
"CafeTerraCo","CafeTerraBRL","psp_0000016","CT-202608-00193","pix","2026-08-13","ADY-BRL-20260813","BRL","","504.37","BRL","","498.82","3.33","1.11","0.67","0.44"
"CafeTerraCo","CafeTerraBRL","psp_0000017","CT-202608-00226","visa","2026-08-13","ADY-BRL-20260813","BRL","","319.73","BRL","","295.01","1.52","0.50","0.30","0.20"
"CafeTerraCo","CafeTerraBRL","psp_0000018","CT-202608-00007","pix","2026-08-13","ADY-BRL-20260813","BRL","","84.92","BRL","","83.99","0.56","0.19","0.11","0.07"
"CafeTerraCo","CafeTerraBRL","psp_0000019","CT-RSV-9002","visadebit","2026-08-13","ADY-BRL-20260813","BRL","","2140.49","BRL","","2130.26","6.13","2.05","1.23","0.82"
