"Company Account","Merchant Account","Psp Reference","Merchant Reference","Payment Method","Booking Date","Batch Number","Gross Currency","Gross Debit (GC)","Gross Credit (GC)","Net Currency","Net Debit (NC)","Net Credit (NC)","Commission (NC)","Markup (NC)","Scheme Fees (NC)","Interchange (NC)"
"CafeTerraCo","CafeTerraMXN","psp_0000000","CT-202608-00302","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","7831.21","MXN","","7793.97","22.34","7.45","4.47","2.98"
"CafeTerraCo","CafeTerraMXN","psp_0000001","CT-202608-00163","visa","2026-08-13","ADY-MXN-20260813","MXN","","2500.78","MXN","","2483.78","10.20","3.40","2.04","1.36"
"CafeTerraCo","CafeTerraMXN","psp_0000002","CT-202608-00325","visa","2026-08-13","ADY-MXN-20260813","MXN","","6223.12","MXN","","6183.78","23.60","7.87","4.72","3.15"
"CafeTerraCo","CafeTerraMXN","psp_0000003","CT-202608-00113","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","8637.37","MXN","","8596.50","24.53","8.17","4.90","3.27"
"CafeTerraCo","CafeTerraMXN","psp_0000004","CT-202608-00140","visa","2026-08-13","ADY-MXN-20260813","MXN","","2562.32","MXN","","2544.95","10.43","3.47","2.08","1.39"
"CafeTerraCo","CafeTerraMXN","psp_0000005","CT-202608-00334","visa","2026-08-13","ADY-MXN-20260813","MXN","","3908.96","MXN","","3883.51","15.27","5.09","3.05","2.04"
"CafeTerraCo","CafeTerraMXN","psp_0000006","CT-202608-00108","visa","2026-08-13","ADY-MXN-20260813","MXN","","5312.60","MXN","","5278.72","20.32","6.78","4.07","2.71"
"CafeTerraCo","CafeTerraMXN","psp_0000007","CT-202608-00283","visa","2026-08-13","ADY-MXN-20260813","MXN","","1084.03","MXN","","1075.53","5.10","1.70","1.02","0.68"
"CafeTerraCo","CafeTerraMXN","psp_0000008","CT-202608-00032","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","2321.71","MXN","","2309.26","7.47","2.49","1.49","1.00"
"CafeTerraCo","CafeTerraMXN","psp_0000009","CT-202608-00042","visa","2026-08-13","ADY-MXN-20260813","MXN","","3094.54","MXN","","3073.97","12.34","4.11","2.47","1.65"
"CafeTerraCo","CafeTerraMXN","psp_0000010","CT-202608-00272","visa","2026-08-13","ADY-MXN-20260813","MXN","","8601.91","MXN","","8548.30","32.17","10.72","6.43","4.29"
"CafeTerraCo","CafeTerraMXN","psp_0000011","CT-202608-00149","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","4498.78","MXN","","4476.54","13.34","4.45","2.67","1.78"
"CafeTerraCo","CafeTerraMXN","psp_0000012","CT-202608-00176","visa","2026-08-13","ADY-MXN-20260813","MXN","","2057.25","MXN","","2042.91","8.60","2.87","1.72","1.15"
"CafeTerraCo","CafeTerraMXN","psp_0000013","CT-202608-00167","visa","2026-08-13","ADY-MXN-20260813","MXN","","4420.19","MXN","","4391.67","17.12","5.70","3.42","2.28"
"CafeTerraCo","CafeTerraMXN","psp_0000014","CT-202608-00016","visa","2026-08-13","ADY-MXN-20260813","MXN","","4126.64","MXN","","4099.88","16.06","5.35","3.21","2.14"
"CafeTerraCo","CafeTerraMXN","psp_0000015","CT-202608-00177","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","6007.01","MXN","","5977.98","17.42","5.81","3.48","2.32"
"CafeTerraCo","CafeTerraMXN","psp_0000016","CT-202608-00204","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","2767.18","MXN","","2752.73","8.67","2.89","1.73","1.16"
"CafeTerraCo","CafeTerraMXN","psp_0000017","CT-202608-00119","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","2910.00","MXN","","2894.90","9.06","3.02","1.81","1.21"
"CafeTerraCo","CafeTerraMXN","psp_0000018","CT-202608-00070","visa","2026-08-13","ADY-MXN-20260813","MXN","","5661.95","MXN","","5625.98","21.58","7.19","4.32","2.88"
"CafeTerraCo","CafeTerraMXN","psp_0000019","CT-202608-00033","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","1112.50","MXN","","1105.49","4.21","1.40","0.84","0.56"
"CafeTerraCo","CafeTerraMXN","psp_0000020","CT-202608-00170","visadebit","2026-08-13","ADY-MXN-20260813","MXN","","3230.04","MXN","","3213.50","9.93","3.31","1.98","1.32"
