"Company Account","Merchant Account","Psp Reference","Merchant Reference","Payment Method","Booking Date","Batch Number","Gross Currency","Gross Debit (GC)","Gross Credit (GC)","Net Currency","Net Debit (NC)","Net Credit (NC)","Commission (NC)","Markup (NC)","Scheme Fees (NC)","Interchange (NC)"
"CafeTerraCo","CafeTerraUSD","psp_0000000","CT-202608-00125","visadebit","2026-08-12","ADY-USD-20260812","USD","","151.69","USD","","150.90","0.48","0.16","0.09","0.06"
"CafeTerraCo","CafeTerraUSD","psp_0000001","CT-202608-00271","visa","2026-08-12","ADY-USD-20260812","USD","","417.95","USD","","415.33","1.58","0.52","0.31","0.21"
"CafeTerraCo","CafeTerraUSD","psp_0000002","CT-202608-00160","visadebit","2026-08-12","ADY-USD-20260812","USD","","337.88","USD","","336.25","0.97","0.33","0.20","0.13"
"CafeTerraCo","CafeTerraUSD","psp_0000003","CT-202608-00273","visadebit","2026-08-12","ADY-USD-20260812","USD","","225.68","USD","","224.55","0.67","0.23","0.14","0.09"
"CafeTerraCo","CafeTerraUSD","psp_0000004","CT-202608-00220","visa","2026-08-12","ADY-USD-20260812","USD","","392.66","USD","","390.19","1.48","0.49","0.30","0.20"
"CafeTerraCo","CafeTerraUSD","psp_0000005","CT-202608-00224","visa","2026-08-12","ADY-USD-20260812","USD","","461.45","USD","","458.57","1.72","0.58","0.35","0.23"
"CafeTerraCo","CafeTerraUSD","psp_0000006","CT-202608-00267","visa","2026-08-12","ADY-USD-20260812","USD","","499.88","USD","","496.77","1.87","0.62","0.37","0.25"
"CafeTerraCo","CafeTerraUSD","psp_0000007","CT-202608-00054","visadebit","2026-08-12","ADY-USD-20260812","USD","","314.72","USD","","313.19","0.92","0.31","0.18","0.12"
"CafeTerraCo","CafeTerraUSD","psp_0000008","CT-202608-00215","visadebit","2026-08-12","ADY-USD-20260812","USD","","98.35","USD","","97.80","0.33","0.11","0.07","0.04"
"CafeTerraCo","CafeTerraUSD","psp_0000009","CT-202608-00211","visa","2026-08-12","ADY-USD-20260812","USD","","25.86","USD","","25.59","0.17","0.05","0.03","0.02"
"CafeTerraCo","CafeTerraUSD","psp_0000010","CT-202608-00269","visadebit","2026-08-12","ADY-USD-20260812","USD","","126.91","USD","","126.23","0.41","0.14","0.08","0.05"
"CafeTerraCo","CafeTerraUSD","psp_0000011","CT-202608-00039","visa","2026-08-12","ADY-USD-20260812","USD","","154.78","USD","","153.74","0.63","0.21","0.12","0.08"
"CafeTerraCo","CafeTerraUSD","psp_0000012","CT-202608-00068","visa","2026-08-12","ADY-USD-20260812","USD","","25.58","USD","","25.32","0.16","0.05","0.03","0.02"
"CafeTerraCo","CafeTerraUSD","psp_0000013","CT-202608-00037","visa","2026-08-12","ADY-USD-20260812","USD","","471.35","USD","","468.41","1.76","0.59","0.35","0.24"
"CafeTerraCo","CafeTerraUSD","psp_0000014","CT-202608-00088","visadebit","2026-08-12","ADY-USD-20260812","USD","","363.32","USD","","361.58","1.04","0.35","0.21","0.14"
"CafeTerraCo","CafeTerraUSD","psp_0000015","CT-202608-00072","visa","2026-08-12","ADY-USD-20260812","USD","","121.78","USD","","120.94","0.50","0.17","0.10","0.07"
"CafeTerraCo","CafeTerraUSD","psp_0000016","CT-202608-00012","visadebit","2026-08-12","ADY-USD-20260812","USD","","152.99","USD","","152.19","0.48","0.16","0.10","0.06"
"CafeTerraCo","CafeTerraUSD","psp_0000017","CT-202608-00259","visadebit","2026-08-12","ADY-USD-20260812","USD","","187.95","USD","","186.99","0.57","0.19","0.12","0.08"
"CafeTerraCo","CafeTerraUSD","psp_0000018","CT-202608-00301","visadebit","2026-08-12","ADY-USD-20260812","USD","","344.80","USD","","343.14","1.00","0.33","0.20","0.13"
"CafeTerraCo","CafeTerraUSD","psp_0000019","CT-202608-00330","visadebit","2026-08-12","ADY-USD-20260812","USD","","125.12","USD","","124.45","0.41","0.13","0.08","0.05"
"CafeTerraCo","CafeTerraUSD","psp_0000020","CT-202608-00147","visadebit","2026-08-12","ADY-USD-20260812","USD","","184.04","USD","","183.10","0.56","0.19","0.11","0.08"
"CafeTerraCo","CafeTerraUSD","psp_0000021","CT-202608-00022","visadebit","2026-08-12","ADY-USD-20260812","USD","","420.18","USD","","418.18","1.20","0.40","0.24","0.16"
