balance_transaction_id,created_utc,gross,fee,net,currency,reporting_category,merchant_reference,payment_method,automatic_payout_id,automatic_payout_effective_at_utc
txn_00000000,2026-08-13T00:00:00Z,2172.56,92.73,2079.83,mxn,charge,CT-202608-00339,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000001,2026-08-13T00:00:00Z,5189.52,189.82,4999.70,mxn,charge,CT-202608-00266,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000002,2026-08-13T00:00:00Z,7306.57,266.04,7040.53,mxn,charge,CT-202608-00335,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000003,2026-08-13T00:00:00Z,3324.26,122.67,3201.59,mxn,charge,CT-202608-00111,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000004,2026-08-13T00:00:00Z,7169.05,287.59,6881.46,mxn,charge,CT-202608-00074,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000005,2026-08-13T00:00:00Z,6390.20,257.22,6132.98,mxn,charge,CT-202608-00166,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000006,2026-08-13T00:00:00Z,8942.14,324.92,8617.22,mxn,charge,CT-202608-00203,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000007,2026-08-13T00:00:00Z,3931.63,144.54,3787.09,mxn,charge,CT-202608-00045,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000008,2026-08-13T00:00:00Z,3846.32,141.47,3704.85,mxn,charge,CT-202608-00188,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000009,2026-08-13T00:00:00Z,112.52,7.05,105.47,mxn,charge,CT-202608-00306,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000010,2026-08-13T00:00:00Z,1675.56,63.32,1612.24,mxn,charge,CT-202608-00073,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000011,2026-08-13T00:00:00Z,6680.69,243.50,6437.19,mxn,charge,CT-202608-00026,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000012,2026-08-13T00:00:00Z,8862.48,322.05,8540.43,mxn,charge,CT-202608-00175,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000013,2026-08-13T00:00:00Z,1604.21,60.75,1543.46,mxn,charge,CT-202608-00268,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000014,2026-08-13T00:00:00Z,6040.74,243.59,5797.15,mxn,charge,CT-202608-00338,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000015,2026-08-13T00:00:00Z,8149.35,325.82,7823.53,mxn,charge,CT-202608-00104,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000016,2026-08-13T00:00:00Z,7294.78,292.50,7002.28,mxn,charge,CT-202608-00239,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000017,2026-08-13T00:00:00Z,8100.75,323.93,7776.82,mxn,charge,CT-202608-00251,oxxo,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000018,2026-08-13T00:00:00Z,2161.55,80.82,2080.73,mxn,charge,CT-202608-00219,credit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_00000019,2026-08-13T00:00:00Z,7831.21,37.24,7793.97,mxn,charge,CT-202608-00302,debit_card,po-MXN-20260813,2026-08-13T04:00:00Z
txn_payout,2026-08-13T04:00:00Z,-102958.52,0,-102958.52,mxn,payout,,,po-MXN-20260813,2026-08-13T04:00:00Z
