balance_transaction_id,created_utc,gross,fee,net,currency,reporting_category,merchant_reference,payment_method,automatic_payout_id,automatic_payout_effective_at_utc
txn_00000000,2026-08-13T00:00:00Z,352.79,10.53,342.26,usd,charge,CT-202608-00056,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000001,2026-08-13T00:00:00Z,242.76,7.34,235.42,usd,charge,CT-202608-00237,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000002,2026-08-13T00:00:00Z,398.01,11.84,386.17,usd,charge,CT-202608-00122,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000003,2026-08-13T00:00:00Z,396.61,14.58,382.03,usd,charge,CT-202608-00169,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000004,2026-08-13T00:00:00Z,231.85,7.02,224.83,usd,charge,CT-202608-00222,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000005,2026-08-13T00:00:00Z,367.21,10.95,356.26,usd,charge,CT-202608-00285,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000006,2026-08-13T00:00:00Z,51.56,2.16,49.40,usd,charge,CT-202608-00195,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000007,2026-08-13T00:00:00Z,126.54,3.97,122.57,usd,charge,CT-202608-00212,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000008,2026-08-13T00:00:00Z,128.97,4.04,124.93,usd,charge,CT-202608-00080,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000009,2026-08-13T00:00:00Z,397.29,11.82,385.47,usd,charge,CT-202608-00146,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000010,2026-08-13T00:00:00Z,195.03,7.32,187.71,usd,charge,CT-202608-00223,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000011,2026-08-13T00:00:00Z,52.98,2.21,50.77,usd,charge,CT-202608-00063,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000012,2026-08-13T00:00:00Z,333.21,9.96,323.25,usd,charge,CT-202608-00189,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000013,2026-08-13T00:00:00Z,9.28,0.63,8.65,usd,charge,CT-202608-00090,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000014,2026-08-13T00:00:00Z,31.66,1.22,30.44,usd,charge,CT-202608-00319,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000015,2026-08-13T00:00:00Z,355.32,10.60,344.72,usd,charge,CT-202608-00082,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000016,2026-08-13T00:00:00Z,70.97,2.36,68.61,usd,charge,CT-202608-00092,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000017,2026-08-13T00:00:00Z,375.49,13.82,361.67,usd,charge,CT-202608-00154,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000018,2026-08-13T00:00:00Z,92.59,2.99,89.60,usd,charge,CT-202608-00124,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000019,2026-08-13T00:00:00Z,234.25,7.09,227.16,usd,charge,CT-202608-00159,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000020,2026-08-13T00:00:00Z,227.47,8.49,218.98,usd,charge,CT-202608-00065,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000021,2026-08-13T00:00:00Z,285.55,10.58,274.97,usd,charge,CT-202608-00095,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000022,2026-08-13T00:00:00Z,327.51,9.80,317.71,usd,charge,CT-202608-00183,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000023,2026-08-13T00:00:00Z,485.17,17.77,467.40,usd,charge,CT-202608-00062,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000024,2026-08-13T00:00:00Z,30.99,1.20,29.79,usd,charge,CT-202608-00250,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000025,2026-08-13T00:00:00Z,226.22,6.86,219.36,usd,charge,CT-202608-00257,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000026,2026-08-13T00:00:00Z,233.03,8.69,224.34,usd,charge,CT-202608-00025,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000027,2026-08-13T00:00:00Z,290.41,8.72,281.69,usd,charge,CT-202608-00308,debit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000028,2026-08-13T00:00:00Z,428.09,15.71,412.38,usd,charge,CT-202608-00278,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_00000029,2026-08-13T00:00:00Z,267.49,9.93,257.56,usd,charge,CT-202608-00023,credit_card,po-USD-20260813,2026-08-13T04:00:00Z
txn_payout,2026-08-13T04:00:00Z,-7006.10,0,-7006.10,usd,payout,,,po-USD-20260813,2026-08-13T04:00:00Z
