transaction_id,processor,country,payment_method,amount,currency,status,created_at,captured_at
CT-202608-00000,dLocal,BR,credit_card,2234.23,BRL,captured,2026-07-21,2026-07-21
CT-202608-00001,PayU Latam,CO,cash,177616,COP,authorized,2026-07-20,
CT-202608-00002,dLocal,MX,spei,2795.60,MXN,captured,2026-07-23,2026-07-23
CT-202608-00003,Adyen,BR,pix,485.34,BRL,captured,2026-08-08,2026-08-08
CT-202608-00004,PayU Latam,CO,cash,1402101,COP,captured,2026-08-08,2026-08-09
CT-202608-00005,Adyen,BR,credit_card,737.42,BRL,authorized,2026-07-23,
CT-202608-00006,Adyen,US,debit_card,41.42,USD,captured,2026-08-12,2026-08-12
CT-202608-00007,Adyen,BR,pix,84.92,BRL,captured,2026-08-11,2026-08-11
CT-202608-00008,Adyen,BR,credit_card,864.91,BRL,refunded,2026-08-02,2026-08-02
CT-202608-00009,Stripe,US,credit_card,55.89,USD,captured,2026-08-14,2026-08-14
CT-202608-00010,Adyen,MX,credit_card,355.48,MXN,authorized,2026-07-17,
CT-202608-00011,dLocal,MX,spei,3245.68,MXN,captured,2026-07-16,2026-07-17
CT-202608-00012,Adyen,US,debit_card,152.99,USD,captured,2026-08-02,2026-08-02
CT-202608-00013,dLocal,BR,pix,1890.38,BRL,captured,2026-07-26,2026-07-27
CT-202608-00014,dLocal,CO,credit_card,628567,COP,authorized,2026-08-07,
CT-202608-00015,dLocal,BR,pix,1478.58,BRL,authorized,2026-08-08,
CT-202608-00016,Adyen,MX,credit_card,4126.64,MXN,captured,2026-08-05,2026-08-05
CT-202608-00017,Adyen,US,debit_card,21.24,USD,authorized,2026-07-22,
CT-202608-00018,Adyen,US,credit_card,410.80,USD,authorized,2026-07-25,
CT-202608-00019,Adyen,US,debit_card,303.46,USD,captured,2026-08-14,2026-08-14
CT-202608-00020,dLocal,BR,credit_card,1593.70,BRL,captured,2026-08-08,2026-08-08
CT-202608-00021,dLocal,MX,credit_card,6584.18,MXN,refunded,2026-08-10,2026-08-10
CT-202608-00022,Adyen,US,debit_card,420.18,USD,captured,2026-08-10,2026-08-10
CT-202608-00023,Stripe,US,credit_card,267.49,USD,captured,2026-08-10,2026-08-10
CT-202608-00024,Adyen,US,credit_card,289.80,USD,failed,2026-07-23,
CT-202608-00025,Stripe,US,credit_card,233.03,USD,captured,2026-08-06,2026-08-06
CT-202608-00026,Stripe,MX,credit_card,6680.69,MXN,captured,2026-08-03,2026-08-03
CT-202608-00027,dLocal,BR,pix,737.26,BRL,captured,2026-08-13,2026-08-13
CT-202608-00028,PayU Latam,CO,credit_card,1746879,COP,captured,2026-08-10,2026-08-11
CT-202608-00029,PayU Latam,CO,pse,147499,COP,authorized,2026-07-26,
CT-202608-00030,PayU Latam,CO,pse,1269688,COP,captured,2026-07-31,2026-07-31
CT-202608-00031,dLocal,MX,spei,3341.98,MXN,captured,2026-07-18,2026-07-18
CT-202608-00032,Adyen,MX,debit_card,2321.71,MXN,captured,2026-07-28,2026-07-29
CT-202608-00033,Adyen,MX,debit_card,1112.50,MXN,captured,2026-08-11,2026-08-11
CT-202608-00034,dLocal,BR,credit_card,2412.02,BRL,captured,2026-07-23,2026-07-23
CT-202608-00035,dLocal,BR,credit_card,1584.05,BRL,captured,2026-07-17,2026-07-17
CT-202608-00036,dLocal,CO,credit_card,386038,COP,failed,2026-07-28,
CT-202608-00037,Adyen,US,credit_card,471.35,USD,captured,2026-07-29,2026-07-29
CT-202608-00038,dLocal,BR,pix,437.15,BRL,captured,2026-08-12,2026-08-13
CT-202608-00039,Adyen,US,credit_card,154.78,USD,captured,2026-07-28,2026-07-28
CT-202608-00040,Adyen,US,debit_card,233.67,USD,authorized,2026-08-08,
CT-202608-00041,PayU Latam,CO,cash,575681,COP,captured,2026-07-26,2026-07-27
CT-202608-00042,Adyen,MX,credit_card,3094.54,MXN,captured,2026-07-29,2026-07-29
CT-202608-00043,PayU Latam,CO,credit_card,826013,COP,captured,2026-07-24,2026-07-25
CT-202608-00044,Adyen,BR,debit_card,1695.04,BRL,authorized,2026-07-27,
CT-202608-00045,Stripe,MX,credit_card,3931.63,MXN,captured,2026-07-29,2026-07-29
CT-202608-00046,Adyen,BR,pix,1452.58,BRL,captured,2026-07-27,2026-07-28
CT-202608-00047,dLocal,MX,spei,5065.47,MXN,captured,2026-07-22,2026-07-22
CT-202608-00048,dLocal,CO,pse,875892,COP,captured,2026-08-11,2026-08-11
CT-202608-00049,Adyen,US,debit_card,367.78,USD,authorized,2026-08-10,
CT-202608-00050,dLocal,CO,credit_card,436499,COP,captured,2026-08-04,2026-08-04
CT-202608-00051,dLocal,BR,pix,951.44,BRL,captured,2026-07-17,2026-07-17
CT-202608-00052,PayU Latam,CO,credit_card,1064733,COP,captured,2026-07-25,2026-07-26
CT-202608-00053,dLocal,CO,credit_card,324296,COP,captured,2026-07-23,2026-07-23
CT-202608-00054,Adyen,US,debit_card,314.72,USD,captured,2026-07-22,2026-07-22
CT-202608-00055,PayU Latam,CO,credit_card,354997,COP,refunded,2026-07-26,2026-07-26
CT-202608-00056,Stripe,US,debit_card,352.79,USD,captured,2026-07-16,2026-07-16
CT-202608-00057,dLocal,BR,pix,932.17,BRL,refunded,2026-07-24,2026-07-25
CT-202608-00058,Adyen,MX,debit_card,7145.43,MXN,authorized,2026-08-13,
CT-202608-00059,Adyen,US,debit_card,269.77,USD,captured,2026-08-14,2026-08-14
CT-202608-00060,Adyen,MX,debit_card,5421.23,MXN,authorized,2026-08-06,
CT-202608-00061,Adyen,BR,pix,2245.53,BRL,captured,2026-07-30,2026-07-30
CT-202608-00062,Stripe,US,credit_card,485.17,USD,captured,2026-08-02,2026-08-02
CT-202608-00063,Stripe,US,credit_card,52.98,USD,captured,2026-07-25,2026-07-26
CT-202608-00064,Adyen,BR,credit_card,1205.40,BRL,refunded,2026-07-31,2026-07-31
CT-202608-00065,Stripe,US,credit_card,227.47,USD,captured,2026-07-31,2026-07-31
CT-202608-00066,Adyen,US,debit_card,84.28,USD,refunded,2026-08-07,2026-08-07
CT-202608-00067,dLocal,MX,credit_card,7548.79,MXN,captured,2026-07-23,2026-07-23
CT-202608-00068,Adyen,US,credit_card,25.58,USD,captured,2026-07-28,2026-07-28
CT-202608-00069,dLocal,BR,credit_card,222.42,BRL,failed,2026-08-02,
CT-202608-00070,Adyen,MX,credit_card,5661.95,MXN,captured,2026-08-08,2026-08-08
CT-202608-00071,dLocal,CO,pse,1356662,COP,authorized,2026-08-05,
CT-202608-00072,Adyen,US,credit_card,121.78,USD,captured,2026-07-30,2026-07-30
CT-202608-00073,Stripe,MX,credit_card,1675.56,MXN,captured,2026-08-02,2026-08-02
CT-202608-00074,Stripe,MX,oxxo,7169.05,MXN,captured,2026-07-26,2026-07-26
CT-202608-00075,dLocal,CO,pse,784261,COP,captured,2026-07-18,2026-07-19
CT-202608-00076,dLocal,BR,pix,906.90,BRL,captured,2026-07-30,2026-07-30
CT-202608-00077,dLocal,MX,credit_card,4149.66,MXN,captured,2026-08-11,2026-08-11
CT-202608-00078,PayU Latam,CO,pse,1615744,COP,captured,2026-07-17,2026-07-17
CT-202608-00079,dLocal,BR,pix,2430.82,BRL,captured,2026-08-10,2026-08-11
CT-202608-00080,Stripe,US,debit_card,128.97,USD,captured,2026-07-22,2026-07-22
CT-202608-00081,dLocal,MX,spei,7761.95,MXN,captured,2026-08-10,2026-08-10
CT-202608-00082,Stripe,US,debit_card,355.32,USD,captured,2026-07-27,2026-07-28
CT-202608-00083,dLocal,BR,credit_card,2260.27,BRL,captured,2026-07-27,2026-07-27
CT-202608-00084,Adyen,US,debit_card,385.92,USD,captured,2026-08-12,2026-08-12
CT-202608-00085,dLocal,BR,pix,1960.78,BRL,captured,2026-07-29,2026-07-30
CT-202608-00086,PayU Latam,CO,credit_card,1409780,COP,captured,2026-07-30,2026-07-30
CT-202608-00087,dLocal,CO,credit_card,251271,COP,captured,2026-08-12,2026-08-12
CT-202608-00088,Adyen,US,debit_card,363.32,USD,captured,2026-07-29,2026-07-29
CT-202608-00089,dLocal,CO,pse,1632611,COP,authorized,2026-07-28,
CT-202608-00090,Stripe,US,credit_card,11.32,USD,captured,2026-07-26,2026-07-27
CT-202608-00091,Adyen,MX,credit_card,1408.10,MXN,failed,2026-07-30,
CT-202608-00092,Stripe,US,debit_card,70.97,USD,captured,2026-07-27,2026-07-28
CT-202608-00093,PayU Latam,CO,cash,693208,COP,captured,2026-08-02,2026-08-02
CT-202608-00094,Adyen,US,debit_card,299.08,USD,failed,2026-08-01,
CT-202608-00095,Stripe,US,credit_card,285.55,USD,captured,2026-08-01,2026-08-01
CT-202608-00096,dLocal,BR,credit_card,1206.73,BRL,captured,2026-07-21,2026-07-21
CT-202608-00097,dLocal,CO,pse,997848,COP,captured,2026-08-09,2026-08-09
CT-202608-00098,dLocal,CO,pse,566113,COP,captured,2026-08-03,2026-08-04
CT-202608-00099,Adyen,BR,credit_card,699.50,BRL,captured,2026-07-28,2026-07-28
CT-202608-00100,Stripe,MX,oxxo,7205.64,MXN,failed,2026-07-23,
CT-202608-00101,dLocal,MX,credit_card,3199.74,MXN,captured,2026-07-19,2026-07-19
CT-202608-00102,Adyen,BR,debit_card,642.71,BRL,captured,2026-07-24,2026-07-25
CT-202608-00103,Adyen,BR,debit_card,582.84,BRL,authorized,2026-08-01,
CT-202608-00104,Stripe,MX,oxxo,8149.35,MXN,captured,2026-08-07,2026-08-07
CT-202608-00105,dLocal,MX,credit_card,6768.51,MXN,captured,2026-07-22,2026-07-23
CT-202608-00106,Adyen,US,debit_card,33.29,USD,authorized,2026-07-21,
CT-202608-00107,dLocal,BR,credit_card,1559.54,BRL,captured,2026-07-30,2026-07-30
CT-202608-00108,Adyen,MX,credit_card,5312.60,MXN,captured,2026-07-26,2026-07-26
CT-202608-00109,Adyen,US,credit_card,368.82,USD,captured,2026-08-11,2026-08-12
CT-202608-00110,dLocal,BR,pix,665.03,BRL,captured,2026-07-25,2026-07-25
CT-202608-00111,Stripe,MX,credit_card,3324.26,MXN,captured,2026-07-25,2026-07-25
CT-202608-00112,dLocal,CO,pse,731934,COP,captured,2026-08-10,2026-08-10
CT-202608-00113,Adyen,MX,debit_card,8637.37,MXN,captured,2026-07-20,2026-07-21
